State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Crop_original
andaman and nicobar islands,nicobars,2000,kharif,arecanut,1254.0,2000.0,Arecanut
andaman and nicobar islands,nicobars,2000,kharif,other kharif pulses,2.0,1.0,Other Kharif pulses
andaman and nicobar islands,nicobars,2000,kharif,rice,102.0,321.0,Rice
andaman and nicobar islands,nicobars,2000,whole year,banana,176.0,641.0,Banana
andaman and nicobar islands,nicobars,2000,whole year,cashewnut,720.0,165.0,Cashewnut
andaman and nicobar islands,nicobars,2000,whole year,coconut,18168.0,65100000.0,Coconut 
andaman and nicobar islands,nicobars,2000,whole year,dry ginger,36.0,100.0,Dry ginger
andaman and nicobar islands,nicobars,2000,whole year,sugarcane,1.0,2.0,Sugarcane
andaman and nicobar islands,nicobars,2000,whole year,sweet potato,5.0,15.0,Sweet potato
andaman and nicobar islands,nicobars,2000,whole year,tapioca,40.0,169.0,Tapioca
andaman and nicobar islands,nicobars,2001,kharif,arecanut,1254.0,2061.0,Arecanut
andaman and nicobar islands,nicobars,2001,kharif,other kharif pulses,2.0,1.0,Other Kharif pulses
andaman and nicobar islands,nicobars,2001,kharif,rice,83.0,300.0,Rice
andaman and nicobar islands,nicobars,2001,whole year,cashewnut,719.0,192.0,Cashewnut
andaman and nicobar islands,nicobars,2001,whole year,coconut,18190.0,64430000.0,Coconut 
andaman and nicobar islands,nicobars,2001,whole year,dry ginger,46.0,100.0,Dry ginger
andaman and nicobar islands,nicobars,2001,whole year,sugarcane,1.0,1.0,Sugarcane
andaman and nicobar islands,nicobars,2001,whole year,sweet potato,11.0,33.0,Sweet potato
andaman and nicobar islands,nicobars,2002,kharif,rice,189.2,510.84,Rice
andaman and nicobar islands,nicobars,2002,whole year,arecanut,1258.0,2083.0,Arecanut
andaman and nicobar islands,nicobars,2002,whole year,banana,213.0,1278.0,Banana
andaman and nicobar islands,nicobars,2002,whole year,black pepper,63.0,13.5,Black pepper
andaman and nicobar islands,nicobars,2002,whole year,cashewnut,719.0,208.0,Cashewnut
andaman and nicobar islands,nicobars,2002,whole year,coconut,18240.0,67490000.0,Coconut 
andaman and nicobar islands,nicobars,2002,whole year,dry chillies,413.0,28.8,Dry chillies
andaman and nicobar islands,nicobars,2002,whole year,dry ginger,47.3,133.0,Dry ginger
andaman and nicobar islands,nicobars,2002,whole year,sugarcane,5.0,40.0,Sugarcane
andaman and nicobar islands,nicobars,2003,kharif,rice,52.0,90.17,Rice
andaman and nicobar islands,nicobars,2003,whole year,arecanut,1261.0,1525.0,Arecanut
andaman and nicobar islands,nicobars,2003,whole year,banana,266.0,1763.0,Banana
andaman and nicobar islands,nicobars,2003,whole year,black pepper,75.5,15.86,Black pepper
andaman and nicobar islands,nicobars,2003,whole year,cashewnut,717.0,208.5,Cashewnut
andaman and nicobar islands,nicobars,2003,whole year,coconut,18284.74,68580000.0,Coconut 
andaman and nicobar islands,nicobars,2003,whole year,dry chillies,60.0,102.0,Dry chillies
andaman and nicobar islands,nicobars,2003,whole year,dry ginger,102.0,326.4,Dry ginger
andaman and nicobar islands,nicobars,2003,whole year,other oilseeds,4.2,0.3,other oilseeds
andaman and nicobar islands,nicobars,2004,kharif,rice,52.94,72.57,Rice
andaman and nicobar islands,nicobars,2004,whole year,arecanut,1264.7,805.85,Arecanut
andaman and nicobar islands,nicobars,2004,whole year,banana,66.42,404.12,Banana
andaman and nicobar islands,nicobars,2004,whole year,black pepper,85.0,15.86,Black pepper
andaman and nicobar islands,nicobars,2004,whole year,cashewnut,683.5,197.9,Cashewnut
andaman and nicobar islands,nicobars,2004,whole year,coconut,18394.7,52380000.0,Coconut 
andaman and nicobar islands,nicobars,2004,whole year,dry chillies,60.0,145.2,Dry chillies
andaman and nicobar islands,nicobars,2004,whole year,dry ginger,118.0,366.0,Dry ginger
andaman and nicobar islands,nicobars,2004,whole year,other oilseeds,1.0,0.11,other oilseeds
andaman and nicobar islands,nicobars,2005,kharif,rice,2.09,12.06,Rice
andaman and nicobar islands,nicobars,2005,whole year,arecanut,795.67,0.0,Arecanut
andaman and nicobar islands,nicobars,2005,whole year,banana,22.0,582.0,Banana
andaman and nicobar islands,nicobars,2005,whole year,black pepper,41.0,0.1,Black pepper
andaman and nicobar islands,nicobars,2005,whole year,cashewnut,450.0,55.8,Cashewnut
andaman and nicobar islands,nicobars,2005,whole year,coconut,13876.57,52030000.0,Coconut 
andaman and nicobar islands,nicobars,2005,whole year,dry chillies,17.0,0.0,Dry chillies
andaman and nicobar islands,nicobars,2005,whole year,turmeric,10.0,70.0,Turmeric
andaman and nicobar islands,nicobars,2006,whole year,arecanut,896.0,477.6,Arecanut
andaman and nicobar islands,nicobars,2006,whole year,banana,198.0,976.0,Banana
andaman and nicobar islands,nicobars,2006,whole year,black pepper,22.16,0.68,Black pepper
andaman and nicobar islands,nicobars,2006,whole year,cashewnut,450.0,85.13,Cashewnut
andaman and nicobar islands,nicobars,2006,whole year,coconut,14358.0,59370000.0,Coconut 
andaman and nicobar islands,nicobars,2006,whole year,dry chillies,3.0,9.0,Dry chillies
andaman and nicobar islands,nicobars,2006,whole year,dry ginger,6.0,21.0,Dry ginger
andaman and nicobar islands,nicobars,2006,whole year,sugarcane,0.2,0.5,Sugarcane
andaman and nicobar islands,nicobars,2006,whole year,sweet potato,18.0,86.0,Sweet potato
andaman and nicobar islands,nicobars,2006,whole year,tapioca,52.03,450.0,Tapioca
andaman and nicobar islands,nicobars,2006,whole year,turmeric,2.5,1.03,Turmeric
andaman and nicobar islands,nicobars,2010,autumn,rice,3.5,10.0,Rice
andaman and nicobar islands,nicobars,2010,autumn,sugarcane,13.4,41.75,Sugarcane
andaman and nicobar islands,nicobars,2010,rabi,arecanut,944.0,1610.0,Arecanut
andaman and nicobar islands,nicobars,2010,rabi,black pepper,23.0,8.5,Black pepper
andaman and nicobar islands,nicobars,2010,rabi,cashewnut,1000.5,260.5,Cashewnut
andaman and nicobar islands,nicobars,2010,rabi,dry chillies,12.0,25.0,Dry chillies
andaman and nicobar islands,nicobars,2010,rabi,dry ginger,7.0,9.64,Dry ginger
