District,Nitrogen Value,Phosphorous value,Potassium value,pH
ahmedabad,21.488,70.724,76.313,7.0
amreli,20.0,79.973,75.713,7.0132
anand,22.424,80.0,73.9925,7.09915
ariyalur,20.024,50.3885,49.8605,6.99915
arvalli,21.041,75.3575,67.5815,7.0357
bagalakote,31.475,61.05,59.108,7.2364
ballari,46.565,55.064,49.871,7.5289
banas kantha,20.195,77.64349999999999,70.19,7.006
bangalore rural,22.373,65.9855,50.6315,6.7694
belagavi,20.135,48.269,45.062,7.5475
bengaluru urban,21.437,63.357,50.182,6.9463
bharuch,20.195,77.64349999999999,70.19,7.006
bhavnagar,22.994,47.723,63.03,7.0102
bidar,36.218,47.874,79.6215,7.0004
botad,23.1935,46.7645,78.9665,7.0
chamarajanagar,54.164,65.288,43.886,7.0074
chengalpattu,21.053,49.0415,42.644000000000005,7.004
chhotaudepur,31.524500000000003,47.7755,61.871,7.00705
chikkaballapura,20.747,73.28450000000001,58.271,6.98995
chikkamagaluru,24.497,70.658,55.884,6.8805
chitradurga,21.634999999999998,74.52199999999999,59.3895,6.9996
coimbatore,20.366,42.524,78.476,7.2001
cuddalore,20.009,70.6115,48.951499999999996,7.0512999999999995
dakshina kannada,20.676,52.358,41.01,6.7531
dang,40.016,31.427,51.682,7.0
davanagere,49.058499999999995,75.0095,70.5455,6.999750000000001
devbhumi dwarka,42.6905,76.73150000000001,51.6515,7.068350000000001
dharmapuri,20.0315,60.4405,59.1575,7.0463000000000005
dharwad,49.561,49.943,63.119,7.3951
dindigul,20.444000000000003,41.805499999999995,71.36449999999999,7.03545
dohad,22.967,76.052,60.524,7.0
erode,20.081,42.8555,74.093,7.03945
gadag,49.688,53.0,64.889,7.0008
gandhinagar,20.234,79.541,76.9245,7.024900000000001
gir somnath,36.051500000000004,50.01649999999999,44.036,7.0043500000000005
hassan,54.077,77.6045,57.137,6.9897
haveri,41.650999999999996,50.423,52.673500000000004,7.00975
jamnagar,33.801,72.299,59.149,7.0801
junagadh,21.008,74.192,65.613,7.0
kachchh,24.1085,63.1165,71.40350000000001,7.06855
kalaburagi,25.16,79.733,79.92,7.0
kallakurichi,20.021,58.248,67.845,7.0103
kanchipuram,20.033,53.655,56.48,7.0072
kanniyakumari,20.192,75.833,48.644,6.8485
karur,20.0,48.328,68.58349999999999,7.23115
kheda,20.192,74.7755,68.5895,7.1113
kodagu,49.948,64.311,59.921,6.9969
kolar,22.1045,73.298,47.4075,6.9205
koppal,57.326,78.323,67.655,7.0524
krishnagiri,20.009,58.894,51.488,7.021100000000001
madurai,20.066,55.874,67.572,7.0101
mahesana,20.2265,61.472,52.0245,7.081049999999999
mahisagar,22.343,51.251999999999995,75.41900000000001,7.0
mandya,24.485,70.742,56.897,6.8984
mayiladuthurai,20.018,57.965,57.947,7.0024
morbi,37.175,77.762,63.116,7.0
mysuru,20.096,74.98,58.922,6.8929
nagapattinam,20.0945,65.7345,57.468500000000006,7.008649999999999
namakkal,20.045,58.739,74.498,7.0386
narmada,34.349,72.86,69.992,7.0
navsari,31.925,79.979,77.03299999999999,7.0
panch mahals,32.822,66.096,62.295,7.0
patan,20.042,65.716,78.272,7.0
perambalur,20.021,39.9655,64.418,7.187250000000001
porbandar,21.719,57.424,80.0,7.0
pudukkottai,20.096,49.781,54.659,7.0
raichur,20.047,50.684,48.236,7.0516
rajkot,20.981,79.919,73.562,7.0114
ramanathapuram,20.054,53.822,78.392,6.9926
ramangara,44.975,69.101,46.73,6.9502
ranipet,20.021,63.491,42.827,7.1177
sabar kantha,20.093,76.71950000000001,65.072,7.03015
salem,20.066,45.7645,65.439,7.13825
shivamogga,26.936,59.585,60.491,6.8855
sivaganga,20.0,50.078,66.005,7.0148
surat,20.648,76.781,62.873,7.0
surendranagar,29.372500000000002,73.06549999999999,70.71950000000001,7.0021
tapi,24.335,75.602,70.961,7.0069
tenkasi,20.0,76.3415,77.129,7.03275
thanjavur,20.039,43.205,52.2485,7.0096
the nilgiris,26.497999999999998,79.1225,64.0975,6.6998999999999995
theni,20.162999999999997,61.6355,74.244,7.093400000000001
thiruvallur,20.042,64.3775,39.807,6.8979
thiruvarur,20.0,67.1255,69.53450000000001,7.00135
tiruchippalli,20.0,53.5275,68.9195,7.08235
tirunelveli,21.683,57.098,64.745,7.228
tirupathur,20.066499999999998,63.854,58.844,7.1323
tiruppur,20.054,43.433,79.123,7.2751
tiruvannamalai,20.100499999999997,55.913,43.8605,7.0078499999999995
tumakuru,25.4735,67.1225,56.7305,6.9946
tuticorn,20.0,54.544,77.21600000000001,7.244949999999999
udupi,33.05,58.914,48.014,6.1547
uttara kannada,24.765,55.644499999999994,39.932500000000005,6.8528
vadodara,24.296,61.9205,59.9495,7.01125
valsad,31.1645,76.13650000000001,64.32499999999999,6.9994499999999995
vellore,20.078,38.201,56.327,7.1869
vijayanagar,35.1725,51.572,35.2685,7.1974
vijayapura,20.102,76.262,60.848,7.0727
villupuram,20.036,56.714,55.949,6.9993
virudhunagar,20.117,50.582,66.851,7.2915
yadgir,25.091,71.278,75.959,7.071199999999999
